ort;landkreis;latitude;longitude;GEB_HQ;AEP;flood_risk;Ueberschwemmungstiefe;Schadensfaktor;Energieklasse;Quadratmeterpreise;wohnflaeche;aktueller_immobilienwert;aktuelles_LtV;darlehenbetrag;Risikogewicht;immobilienwert_check;darlehenbetrag_check;ID
Stein;Landkreis Fürth;4,93898E+14;1,09478E+16;;0.0;very low;0;0;D;2393.48;140.11;335339.8;0.57;189861.46;0,2;True;True;166
Stein;Landkreis Fürth;4,93965E+15;1,09237E+16;;0.0;very low;0;0;A;2393.48;136.94;327764.47;0.56;185067.4;0,2;True;True;167
Stein;Landkreis Fürth;4,94141E+15;1,10061E+16;;0.0;very low;0;0;E;2393.48;146.84;351450.16;0.49;172133.44;0,2;True;True;168
Stein;Landkreis Fürth;4,93981E+15;1,09387E+16;;0.0;very low;0;0;H;2393.48;85.27;204094.47;0.61;125243.37;0,3;True;True;169
Ammerndorf;Landkreis Fürth;4,94274E+15;1,0852E+16;;0.0;very low;0;0;C;2393.48;91.76;219629.14;0.75;164721.86;0,2;True;True;170
Langenzenn;Landkreis Fürth;4,94579E+15;1,07651E+16;;0.0;very low;0;0;E;2393.48;146.32;350215.09;0.74;257555.34;0,25;True;True;171
Langenzenn;Landkreis Fürth;4,94999E+15;1,0812E+16;;0.0;very low;0;0;C;2393.48;145.2;347528.71;0.45;156030.02;0,3;True;True;172
Langenzenn;Landkreis Fürth;4,95002E+15;1,07623E+14;;0.0;very low;0;0;C;2393.48;159.61;382027.3;0.58;219943.54;0,3;True;True;173
Bubenreuth;Landkreis Erlangen-Höchstadt;4,96224E+15;1,10037E+16;;0.0;very low;0;0;H;2246.29;96.44;216640.72;0.75;162480.54;0,2;True;True;174
Baiersdorf;Landkreis Erlangen-Höchstadt;4,96681E+15;1,10393E+16;;0.0;very low;0;0;F;2246.29;128.41;288437.39;0.58;167628.13;0,2;True;True;175
Baiersdorf;Landkreis Erlangen-Höchstadt;4,96591E+15;1,10594E+16;;0.0;very low;0;0;G;2246.29;80.0;179703.14;0.63;112656.17;0,2;True;True;176
Altdorf bei Nürnberg;Landkreis Nürnberger Land;4,93803E+15;1,14087E+15;;0.0;very low;0;0;F;1864.54;120.32;224342.75;0.72;162298.7;0,2;True;True;177
Altdorf bei Nürnberg;Landkreis Nürnberger Land;4,94032E+15;1,14091E+15;;0.0;very low;0;0;C;1864.54;86.67;161601.51;0.75;121201.13;0,25;True;True;178
Altdorf bei Nürnberg;Landkreis Nürnberger Land;4,94136E+16;1,14035E+16;;0.0;very low;0;0;E;1864.54;160.6;299453.99;0.64;193078.69;0,2;True;True;179
Altdorf bei Nürnberg;Landkreis Nürnberger Land;4,93899E+15;1,13755E+15;;0.0;very low;0;0;D;1864.54;121.46;226471.18;0.7;158330.86;0,3;True;True;180
Schwarzenbruck;Landkreis Nürnberger Land;4,93646E+16;1,12784E+16;;0.0;very low;0;0;A;1864.54;147.19;274442.02;0.75;205831.51;0,25;True;True;181
Schwarzenbruck;Landkreis Nürnberger Land;4,93699E+15;1,12611E+16;;0.0;very low;0;0;E;1864.54;145.33;270968.42;0.75;203226.32;0,2;True;True;182
Lauben;Landkreis Oberallgäu;4,77938E+15;1,02879E+16;HQ 500;0.002;very low;0;0;F;2522.98;127.76;322341.59;0.54;174070.29;0,3;True;True;183
Memmingen;;4,80301E+14;1,01948E+16;;0.0;very low;0;0;A;2008.61;128.66;258433.76;0.71;183166.88;0,2;True;True;184
Memmingen;;4,79963E+15;1,01584E+16;;0.0;very low;0;0;F;2008.61;152.53;306375.93;0.75;229012.57;0,25;True;True;185
Memmingen;;4,79965E+14;1,01909E+15;;0.0;very low;0;0;E;2008.61;164.18;329778.52;0.5;165543.25;0,2;True;True;186
Memmingen;;4,80231E+15;1,01506E+16;;0.0;very low;0;0;G;2008.61;107.3;215514.36;0.65;139720.55;0,2;True;True;187
Memmingen;;4,79863E+15;1,01866E+16;;0.0;very low;0;0;F;2008.61;86.3;173348.58;0.7;121598.75;0,25;True;True;188
Memmingen;;4,79388E+15;1,01255E+16;;0.0;very low;0;0;H;2008.61;86.01;172765.17;0.62;106995.42;0,2;True;True;189
Memmingen;;4,79697E+14;1,01351E+16;;0.0;very low;0;0;D;2008.61;112.3;225558.56;0.75;169168.92;0,2;True;True;190
Memmingen;;4,80105E+15;1,01944E+16;;0.0;very low;0;0;C;2008.61;154.17;309659.52;0.6;186547.59;0,2;True;True;191
Memmingen;;4,7988E+15;1,0148E+16;;0.0;very low;0;0;H;2008.61;129.87;260854.53;0.64;167832.69;0,2;True;True;192
Memmingen;;4,80048E+15;1,02062E+16;;0.0;very low;0;0;E;2008.61;156.89;315123.32;0.55;174759.67;0,3;True;True;193
Memmingen;;4,79808E+15;1,01693E+16;;0.0;very low;0;0;F;2008.61;80.0;160688.48;0.47;75766.19;0,2;True;True;194
Kaufbeuren;;4,78743E+15;1,06465E+15;;0.0;very low;0;0;G;1932.67;128.21;247787.86;0.73;180113.86;0,2;True;True;195
Kaufbeuren;;4,78717E+15;1,06362E+16;;0.0;very low;0;0;B;1932.67;114.39;221087.93;0.48;106553.72;0,3;True;True;196
Kaufbeuren;;4,78642E+15;1,05838E+16;;0.0;very low;0;0;D;1932.67;81.3;157130.56;0.43;67650.93;0,2;True;True;197
Kaufbeuren;;4,78677E+15;1,06084E+16;;0.0;very low;0;0;D;1932.67;144.22;278723.68;0.51;142711.78;0,25;True;True;198
Kaufbeuren;;4,78665E+15;1,06387E+15;;0.0;very low;0;0;G;1932.67;140.85;272210.71;0.56;151162.88;0,2;True;True;199
Kaufbeuren;;4,7892E+15;1,0577E+16;;0.0;very low;0;0;G;1932.67;106.31;205455.06;0.64;131283.27;0,2;True;True;200
Kaufbeuren;;4,78503E+16;1,06333E+16;;0.0;very low;0;0;C;1932.67;80.0;154613.77;0.48;73527.22;0,25;True;True;201
Kaufbeuren;;4,78647E+15;1,06123E+16;;0.0;very low;0;0;G;1932.67;80.0;154613.77;0.74;114852.22;0,2;True;True;202
Kaufbeuren;;4,7859E+16;1,06544E+16;;0.0;very low;0;0;C;1932.67;84.0;162338.04;0.6;97594.31;0,2;True;True;203
Kaufbeuren;;4,78828E+15;1,06284E+16;;0.0;very low;0;0;H;1932.67;80.0;154613.77;0.44;68798.95;0,2;True;True;204
Kaufbeuren;;4,78757E+15;1,06342E+16;;0.0;very low;0;0;D;1932.67;157.32;304040.31;0.55;166059.35;0,3;True;True;205
Klingenberg am Main;Landkreis Miltenberg;4,97486E+15;9,18838E+15;;0.0;very low;0;0;D;1448.46;109.01;157893.24;0.54;85703.32;0,2;True;True;206
Klingenberg am Main;Landkreis Miltenberg;4,97525E+15;9,18511E+11;;0.0;very low;0;0;F;1448.46;80.0;115877.11;0.44;50512.32;0,2;True;True;207
Bodolz;Landkreis Lindau;4,75752E+15;9,68104E+14;;0.0;very low;0;0;E;2745.58;159.15;436959.28;0.59;257235.3;0,25;True;True;208
Bodolz;Landkreis Lindau;4,75598E+15;9,65678E+14;;0.0;very low;0;0;C;2745.58;83.25;228574.29;0.55;126255.54;0,2;True;True;209
Bodolz;Landkreis Lindau;4,7579E+15;9,69147E+15;;0.0;very low;0;0;D;2745.58;85.82;235632.08;0.51;119494.96;0,25;True;True;210
Bodolz;Landkreis Lindau;4,75834E+16;9,66482E+15;;0.0;very low;0;0;C;2745.58;152.47;418628.97;0.75;313971.73;0,3;True;True;211
Bodolz;Landkreis Lindau;4,75667E+16;9,70482E+15;;0.0;very low;0;0;G;2745.58;82.67;226987.81;0.53;120206.17;0,2;True;True;212
Bodolz;Landkreis Lindau;4,75911E+15;9,69288E+15;;0.0;very low;0;0;H;2745.58;148.04;406463.66;0.63;254921.38;0,2;True;True;213
Bodolz;Landkreis Lindau;4,7573E+15;9,71351E+15;;0.0;very low;0;0;A+;2745.58;84.08;230836.1;0.45;103105.54;0,2;True;True;214
Lindau (Bodensee);Landkreis Lindau;4,75426E+15;9,72728E+15;;0.0;very low;0;0;A+;2745.58;136.08;373622.06;0.75;280216.55;0,2;True;True;215
Lindau (Bodensee);Landkreis Lindau;4,7553E+15;9,72331E+14;;0.0;very low;0;0;G;2745.58;128.16;351875.12;0.43;152217.16;0,2;True;True;216
Lindau (Bodensee);Landkreis Lindau;4,75802E+15;9,65379E+15;;0.0;very low;0;0;F;2745.58;96.95;266179.48;0.43;113924.78;0,3;True;True;217
Lindau (Bodensee);Landkreis Lindau;4,75704E+15;9,68342E+14;;0.0;very low;0;0;G;2745.58;129.19;354708.64;0.63;224562.44;0,3;True;True;218
Lindau (Bodensee);Landkreis Lindau;4,75976E+15;9,6838E+15;;0.0;very low;0;0;E;2745.58;80.0;219646.42;0.55;120974.67;0,2;True;True;219
Lindau (Bodensee);Landkreis Lindau;4,7591E+14;9,67883E+14;;0.0;very low;0;0;D;2745.58;80.0;219646.42;0.42;91875.24;0,3;True;True;220
Lindau (Bodensee);Landkreis Lindau;4,75564E+16;9,69691E+15;;0.0;very low;0;0;C;2745.58;133.4;366256.39;0.75;274692.29;0,25;True;True;221
Eschau;Landkreis Miltenberg;4,98218E+15;9,3463E+14;;0.0;very low;0;0;H;1448.46;80.0;115877.11;0.67;78195.76;0,2;True;True;222
Großheubach;Landkreis Miltenberg;4,97323E+15;9,22212E+15;;0.0;very low;0;0;A;1448.46;133.64;193576.59;0.59;113999.86;0,2;True;True;223
Wörth am Main;Landkreis Miltenberg;4,97742E+15;9,13302E+15;;0.0;very low;0;0;D;1448.46;121.64;176197.43;0.7;123292.92;0,2;True;True;224
Erlenbach am Main;Landkreis Miltenberg;4,97912E+16;9,17231E+15;;0.0;very low;0;0;G;1448.46;143.1;207275.62;0.63;130563.81;0,2;True;True;225
Erlenbach am Main;Landkreis Miltenberg;4,98087E+15;9,20098E+14;;0.0;very low;0;0;F;1448.46;80.0;115877.11;0.67;77615.55;0,2;True;True;226
Erlenbach am Main;Landkreis Miltenberg;4,97983E+15;9,1754E+15;;0.0;very low;0;0;G;1448.46;145.34;210518.12;0.54;112963.38;0,3;True;True;227
Mönchberg;Landkreis Miltenberg;4,97978E+15;9,30256E+15;;0.0;very low;0;0;E;1448.46;90.63;131279.67;0.55;71715.96;0,25;True;True;228
Hausen;Landkreis Miltenberg;4,98834E+15;9,20844E+15;;0.0;very low;0;0;E;1448.46;108.63;157353.81;0.75;118015.36;0,25;True;True;229
Kleinwallstadt;Landkreis Miltenberg;4,98727E+15;9,16995E+15;;0.0;very low;0;0;C;1448.46;103.97;150590.17;0.49;73072.68;0,25;True;True;230
Kleinwallstadt;Landkreis Miltenberg;4,98624E+15;9,19975E+15;;0.0;very low;0;0;H;1448.46;80.0;115877.11;0.55;64180.19;0,2;True;True;231
Sulzbach am Main;Landkreis Miltenberg;4,99115E+15;9,17163E+15;;0.0;very low;0;0;F;1448.46;165.76;240091.59;0.75;180068.69;0,2;True;True;232
Sulzbach am Main;Landkreis Miltenberg;4,99205E+15;9,18931E+15;;0.0;very low;0;0;A;1448.46;80.0;115877.11;0.43;49270.45;0,2;True;True;233
Großwallstadt;Landkreis Miltenberg;4,98821E+15;9,11905E+15;;0.0;very low;0;0;E;1448.46;124.92;180943.61;0.63;114412.46;0,25;True;True;234
Niedernberg;Landkreis Miltenberg;4,99062E+15;9,12753E+15;;0.0;very low;0;0;D;1448.46;167.33;242374.73;0.66;159584.3;0,2;True;True;235
Hösbach;Landkreis Aschaffenburg;5,00442E+15;9,2148E+14;;0.0;very low;0;0;C;1882.22;120.25;226332.27;0.51;116424.76;0,25;True;True;236
Hösbach;Landkreis Aschaffenburg;5,0023E+15;9,23071E+15;;0.0;very low;0;0;G;1882.22;126.93;238902.93;0.69;165325.17;0,3;True;True;237
Hösbach;Landkreis Aschaffenburg;5,00299E+15;9,19341E+15;;0.0;very low;0;0;F;1882.22;153.58;289065.0;0.71;206184.14;0,2;True;True;238
Hösbach;Landkreis Aschaffenburg;4,99738E+15;9,21046E+14;;0.0;very low;0;0;G;1882.22;125.75;236692.94;0.53;125363.18;0,2;True;True;239
Obernburg am Main;Landkreis Miltenberg;4,98306E+15;9,09928E+15;;0.0;very low;0;0;A+;1448.46;87.35;126530.47;0.47;59668.5;0,2;True;True;240
Obernburg am Main;Landkreis Miltenberg;4,984E+16;9,12652E+15;;0.0;very low;0;0;B;1448.46;94.89;137448.73;0.74;101767.28;0,2;True;True;241
Mömlingen;Landkreis Miltenberg;4,98529E+15;9,05653E+14;;0.0;very low;0;0;D;1448.46;150.15;217482.25;0.47;102468.39;0,2;True;True;242
Stockstadt am Main;Landkreis Aschaffenburg;4,99771E+14;9,04745E+14;;0.0;very low;0;0;D;1882.22;80.0;150577.84;0.61;91856.52;0,3;True;True;243
Stockstadt am Main;Landkreis Aschaffenburg;4,9975E+14;9,04366E+15;;0.0;very low;0;0;H;1882.22;125.71;236614.15;0.63;149797.54;0,3;True;True;244
Krombach;Landkreis Aschaffenburg;5,007E+14;9,19309E+15;;0.0;very low;0;0;B;1882.22;80.0;150577.84;0.75;112933.38;0,2;True;True;245
Mömbris;Landkreis Aschaffenburg;5,00548E+16;9,11214E+15;;0.0;very low;0;0;E;1882.22;85.82;161536.15;0.72;116057.71;0,2;True;True;246
Mömbris;Landkreis Aschaffenburg;5,00369E+14;9,1299E+15;;0.0;very low;0;0;E;1882.22;136.64;257194.11;0.65;166613.44;0,2;True;True;247
Mömbris;Landkreis Aschaffenburg;5,00462E+15;9,182E+15;;0.0;very low;0;0;E;1882.22;100.24;188668.71;0.64;120597.64;0,2;True;True;248
Johannesberg;Landkreis Aschaffenburg;5,00167E+16;9,11745E+15;;0.0;very low;0;0;G;1882.22;147.86;278305.4;0.49;135948.93;0,2;True;True;249
Mainaschaff;Landkreis Aschaffenburg;5,00153E+15;9,08469E+15;;0.0;very low;0;0;B;1882.22;82.09;154514.16;0.51;79317.03;0,2;True;True;250
Mainaschaff;Landkreis Aschaffenburg;4,99847E+15;9,10062E+15;;0.0;very low;0;0;D;1882.22;106.77;200970.79;0.65;131515.93;0,2;True;True;251
Kleinostheim;Landkreis Aschaffenburg;5,00225E+15;9,08928E+15;;0.0;very low;0;0;C;1882.22;162.94;306684.27;0.64;194769.27;0,3;True;True;252
Kleinostheim;Landkreis Aschaffenburg;5,00253E+15;9,03357E+15;;0.0;very low;0;0;C;1882.22;80.0;150577.84;0.55;83285.85;0,2;True;True;253
Karlstein am Main;Landkreis Aschaffenburg;5,00336E+15;9,0452E+14;;0.0;very low;0;0;C;1882.22;164.37;309387.74;0.72;223248.69;0,2;True;True;254
Karlstein am Main;Landkreis Aschaffenburg;5,00389E+15;9,03967E+15;;0.0;very low;0;0;C;1882.22;161.1;303231.49;0.63;189735.94;0,2;True;True;255
Kahl am Main;Landkreis Aschaffenburg;5,00617E+15;9,00027E+15;;0.0;very low;0;0;A+;1882.22;83.28;156743.61;0.49;76280.25;0,2;True;True;256
Kahl am Main;Landkreis Aschaffenburg;5,00762E+15;9,01363E+15;;0.0;very low;0;0;H;1882.22;150.75;283749.87;0.58;164041.79;0,3;True;True;257
Alzenau;Landkreis Aschaffenburg;5,00669E+15;9,07678E+14;;0.0;very low;0;0;A+;1882.22;80.0;150577.84;0.65;97623.59;0,3;True;True;258
Alzenau;Landkreis Aschaffenburg;5,00945E+15;9,03762E+14;;0.0;very low;0;0;D;1882.22;80.0;150577.84;0.7;105558.64;0,2;True;True;259
Alzenau;Landkreis Aschaffenburg;5,00644E+15;9,04807E+15;;0.0;very low;0;0;H;1882.22;130.98;246542.44;0.72;178062.35;0,2;True;True;260
Alzenau;Landkreis Aschaffenburg;5,01154E+15;9,07508E+15;;0.0;very low;0;0;A+;1882.22;101.01;190125.82;0.75;142594.36;0,2;True;True;261
Alzenau;Landkreis Aschaffenburg;5,00853E+15;9,09157E+14;;0.0;very low;0;0;C;1882.22;159.79;300762.58;0.56;169078.66;0,2;True;True;262
Würzburg;;4,97957E+15;9,97942E+15;;0.0;very low;0;0;E;1571.73;80.0;125738.11;0.71;88927.58;0,2;True;True;263
Würzburg;;4,97852E+15;9,95316E+15;;0.0;very low;0;0;F;1571.73;80.0;125738.11;0.7;87517.33;0,2;True;True;264
Würzburg;;4,97789E+16;9,94292E+15;;0.0;very low;0;0;B;1571.73;80.0;125738.11;0.49;61477.86;0,2;True;True;265
Würzburg;;4,97926E+15;9,97854E+14;;0.0;very low;0;0;E;1571.73;80.0;125738.11;0.59;73844.02;0,2;True;True;266
Würzburg;;4,97919E+15;9,96923E+14;;0.0;very low;0;0;E;1571.73;153.94;241953.98;0.75;181465.49;0,3;True;True;267
Ringelai;Landkreis Freyung-Grafenau;4,88136E+15;1,3452E+16;;0.0;very low;0;0;C;1103.64;91.51;100994.9;0.5;50689.15;0,25;True;True;268
Pfronten;Landkreis Ostallgäu;4,75468E+15;1,05784E+16;;0.0;very low;0;0;A;2032.01;111.58;226726.75;0.59;133752.13;0,2;True;True;269
Pfronten;Landkreis Ostallgäu;4,75515E+16;1,05291E+16;;0.0;very low;0;0;G;2032.01;126.72;257494.69;0.53;136437.47;0,3;True;True;270
Benningen;Landkreis Unterallgäu;4,79666E+15;1,02316E+16;;0.0;very low;0;0;H;1829.69;162.57;297448.82;0.43;128009.53;0,2;True;True;271
Höchstadt a.d.Aisch;Landkreis Erlangen-Höchstadt;4,9692E+15;1,08134E+16;;0.0;very low;0;0;E;2246.29;156.1;350655.7;0.69;243208.23;0,25;True;True;272
Höchstadt a.d.Aisch;Landkreis Erlangen-Höchstadt;4,97576E+15;1,08827E+15;;0.0;very low;0;0;D;2246.29;129.79;291553.15;0.54;157740.91;0,2;True;True;273
Höchstadt a.d.Aisch;Landkreis Erlangen-Höchstadt;4,97637E+15;1,09022E+16;;0.0;very low;0;0;F;2246.29;80.0;179703.14;0.73;131884.4;0,2;True;True;274
Höchstadt a.d.Aisch;Landkreis Erlangen-Höchstadt;4,97607E+16;1,09063E+16;;0.0;very low;0;0;G;2246.29;102.99;231350.09;0.52;119437.55;0,25;True;True;275
Mespelbrunn;Landkreis Aschaffenburg;4,99013E+15;9,31847E+13;;0.0;very low;0;0;D;1882.22;80.0;150577.84;0.43;64526.68;0,2;True;True;276
Neuhaus a.d.Pegnitz;Landkreis Nürnberger Land;4,9626E+15;1,15401E+16;;0.0;very low;0;0;A;1864.54;157.19;293082.79;0.75;219812.09;0,25;True;True;277
Sailauf;Landkreis Aschaffenburg;5,00413E+15;9,29457E+15;;0.0;very low;0;0;A+;1882.22;80.0;150577.84;0.53;80138.94;0,2;True;True;278
Kirchenlamitz;Landkreis Wunsiedel im Fichtelgebirge;5,01437E+15;1,19049E+16;;0.0;very low;0;0;H;826.43;129.27;106836.02;0.47;49828.14;0,25;True;True;279
Röslau;Landkreis Wunsiedel im Fichtelgebirge;5,00804E+15;1,20233E+16;;0.0;very low;0;0;E;826.43;87.06;71947.94;0.51;36911.26;0,25;True;True;280
Thiersheim;Landkreis Wunsiedel im Fichtelgebirge;5,00852E+15;1,21415E+15;;0.0;very low;0;0;C;826.43;126.88;104856.66;0.75;78642.49;0,25;True;True;281
Weißenstadt;Landkreis Wunsiedel im Fichtelgebirge;5,00905E+15;1,18305E+16;;0.0;very low;0;0;E;826.43;82.51;68184.98;0.56;38521.3;0,2;True;True;282
Waldbrunn;Landkreis Würzburg;4,97535E+15;9,79453E+15;;0.0;very low;0;0;F;1571.73;124.31;195380.16;0.61;119882.67;0,2;True;True;283
Tröstau;Landkreis Wunsiedel im Fichtelgebirge;5,00536E+15;1,18886E+16;;0.0;very low;0;0;D;826.43;144.88;119734.38;0.75;89800.79;0,25;True;True;284
Marktleuthen;Landkreis Wunsiedel im Fichtelgebirge;5,01095E+14;1,20182E+16;;0.0;very low;0;0;F;826.43;149.12;123236.42;0.5;61733.13;0,3;True;True;285
Kleinrinderfeld;Landkreis Würzburg;4,97074E+15;9,84228E+14;;0.0;very low;0;0;B;1571.73;133.11;209205.49;0.48;100316.17;0,2;True;True;286
Kemnath;Landkreis Tirschenreuth;4,98441E+15;1,19866E+16;;0.0;very low;0;0;D;910.17;86.15;78415.13;0.42;32917.09;0,3;True;True;287
Waldershof;Landkreis Tirschenreuth;4,99866E+16;1,20295E+14;;0.0;very low;0;0;A+;910.17;90.84;82679.88;0.54;44406.82;0,2;True;True;288
Leonberg;Landkreis Tirschenreuth;4,99153E+15;1,23184E+16;;0.0;very low;0;0;D;910.17;125.72;114425.57;0.54;61977.97;0,2;True;True;289
Leonberg;Landkreis Tirschenreuth;4,99463E+15;1,2221E+14;;0.0;very low;0;0;C;910.17;111.19;101204.68;0.65;65918.61;0,2;True;True;290
Mitterteich;Landkreis Tirschenreuth;4,99619E+15;1,2253E+16;;0.0;very low;0;0;G;910.17;104.53;95142.52;0.75;71356.89;0,25;True;True;291
Mitterteich;Landkreis Tirschenreuth;4,99411E+15;1,21971E+16;;0.0;very low;0;0;H;910.17;80.0;72813.27;0.6;43457.29;0,2;True;True;292
Bärnau;Landkreis Tirschenreuth;4,98476E+14;1,23679E+16;;0.0;very low;0;0;A;910.17;111.54;101518.46;0.71;72326.7;0,2;True;True;293
Waldsassen;Landkreis Tirschenreuth;5,00358E+15;1,22946E+15;;0.0;very low;0;0;A;910.17;103.87;94535.7;0.54;50818.13;0,25;True;True;294
Waldsassen;Landkreis Tirschenreuth;5,00543E+14;1,22731E+15;;0.0;very low;0;0;H;910.17;80.0;72813.27;0.7;50745.99;0,2;True;True;295
Kulmain;Landkreis Tirschenreuth;4,98879E+15;1,19401E+13;;0.0;very low;0;0;D;910.17;160.1;145715.41;0.44;63677.5;0,2;True;True;296
Plößberg;Landkreis Tirschenreuth;4,97999E+16;1,22663E+16;;0.0;very low;0;0;A;910.17;138.15;125743.4;0.58;73355.17;0,2;True;True;297
Mähring;Landkreis Tirschenreuth;4,98684E+15;1,24745E+15;;0.0;very low;0;0;A+;910.17;151.65;138024.27;0.71;98158.71;0,25;True;True;298
Immenreuth;Landkreis Tirschenreuth;4,99614E+14;1,18349E+15;;0.0;very low;0;0;C;910.17;131.74;119901.99;0.57;68319.87;0,25;True;True;299
Neusorg;Landkreis Tirschenreuth;4,99479E+15;1,1958E+15;;0.0;very low;0;0;C;910.17;80.0;72813.27;0.75;54609.95;0,25;True;True;300
Tirschenreuth;Landkreis Tirschenreuth;4,99338E+15;1,23785E+16;;0.0;very low;0;0;H;910.17;123.37;112289.76;0.48;53617.26;0,2;True;True;301
Tirschenreuth;Landkreis Tirschenreuth;4,99059E+15;1,23358E+16;;0.0;very low;0;0;A;910.17;92.18;83896.77;0.75;62922.58;0,2;True;True;302
Wiesau;Landkreis Tirschenreuth;4,99197E+15;1,216E+16;;0.0;very low;0;0;B;910.17;125.5;114228.93;0.75;85671.7;0,2;True;True;303
Konnersreuth;Landkreis Tirschenreuth;5,00159E+15;1,22363E+16;;0.0;very low;0;0;A;910.17;142.42;129625.25;0.63;81391.08;0,2;True;True;304
Auerbach;Landkreis Deggendorf;4,88295E+14;1,30823E+15;;0.0;very low;0;0;D;1499.95;128.19;192271.53;0.53;101644.81;0,3;True;True;305
Grainet;Landkreis Freyung-Grafenau;4,87939E+16;1,36154E+15;;0.0;very low;0;0;D;1103.64;93.22;102878.64;0.74;76564.12;0,2;True;True;306
Bruck i.d.OPf.;Landkreis Schwandorf;4,92522E+15;1,23616E+16;;0.0;very low;0;0;D;1429.74;80.0;114379.24;0.45;51131.02;0,2;True;True;307
Steinberg am See;Landkreis Schwandorf;4,92817E+15;1,22069E+15;;0.0;very low;0;0;C;1429.74;80.0;114379.24;0.5;57264.28;0,2;True;True;308
Neunburg vorm Wald;Landkreis Schwandorf;4,93298E+15;1,24843E+16;;0.0;very low;0;0;A+;1429.74;80.0;114379.24;0.74;84448.64;0,2;True;True;309
Neunburg vorm Wald;Landkreis Schwandorf;4,93211E+15;1,2477E+16;;0.0;very low;0;0;C;1429.74;166.95;238695.67;0.75;179021.75;0,2;True;True;310
Wackersdorf;Landkreis Schwandorf;4,93053E+15;1,22023E+16;;0.0;very low;0;0;F;1429.74;138.51;198039.05;0.52;102242.41;0,3;True;True;311
Schwarzenfeld;Landkreis Schwandorf;4,93701E+15;1,22342E+16;;0.0;very low;0;0;G;1429.74;107.39;153538.71;0.45;69310.64;0,2;True;True;312
Schwarzenfeld;Landkreis Schwandorf;4,93782E+15;1,21112E+16;;0.0;very low;0;0;E;1429.74;136.87;195682.93;0.52;101498.15;0,25;True;True;313
Bodenwöhr;Landkreis Schwandorf;4,92695E+15;1,23539E+16;;0.0;very low;0;0;D;1429.74;140.01;200173.1;0.47;94094.18;0,3;True;True;314
Teunz;Landkreis Schwandorf;4,95165E+15;1,24198E+16;;0.0;very low;0;0;G;1429.74;85.66;122471.84;0.57;69703.52;0,2;True;True;315
Nabburg;Landkreis Schwandorf;4,94811E+16;1,21475E+16;;0.0;very low;0;0;G;1429.74;86.74;124014.36;0.43;53463.82;0,2;True;True;316
Nabburg;Landkreis Schwandorf;4,94767E+14;1,21455E+16;;0.0;very low;0;0;H;1429.74;104.7;149688.99;0.47;70107.63;0,2;True;True;317
Wernberg-Köblitz;Landkreis Schwandorf;4,94888E+16;1,21025E+16;;0.0;very low;0;0;G;1429.74;103.34;147756.05;0.68;100055.59;0,2;True;True;318
Wernberg-Köblitz;Landkreis Schwandorf;4,95397E+15;1,21244E+16;;0.0;very low;0;0;G;1429.74;80.0;114379.24;0.54;61296.14;0,2;True;True;319
Schmidgaden;Landkreis Schwandorf;4,94156E+16;1,20626E+16;;0.0;very low;0;0;A+;1429.74;102.51;146565.71;0.47;68259.44;0,25;True;True;320
Rötz;Landkreis Cham;4,93996E+15;1,2554E+16;;0.0;very low;0;0;A;930.45;132.3;123100.09;0.72;88786.32;0,2;True;True;321
Oberviechtach;Landkreis Schwandorf;4,94497E+15;1,24629E+16;;0.0;very low;0;0;D;1429.74;102.77;146941.1;0.7;102415.45;0,25;True;True;322
Schönsee;Landkreis Schwandorf;4,95196E+15;1,25173E+16;;0.0;very low;0;0;G;1429.74;93.78;134084.04;0.7;93651.9;0,2;True;True;323
Schwandorf;Landkreis Schwandorf;4,93669E+15;1,21092E+15;;0.0;very low;0;0;F;1429.74;106.32;152009.95;0.62;94973.54;0,2;True;True;324
Schwandorf;Landkreis Schwandorf;4,93374E+15;1,21829E+16;;0.0;very low;0;0;H;1429.74;94.82;135572.67;0.56;75430.82;0,2;True;True;325
Schwandorf;Landkreis Schwandorf;4,93638E+15;1,21635E+16;;0.0;very low;0;0;C;1429.74;140.5;200879.05;0.62;123982.77;0,2;True;True;326
Schwandorf;Landkreis Schwandorf;4,93636E+14;1,2158E+16;;0.0;very low;0;0;H;1429.74;86.0;122956.97;0.51;62313.83;0,2;True;True;327
Schwandorf;Landkreis Schwandorf;4,93073E+15;1,20011E+16;;0.0;very low;0;0;D;1429.74;92.85;132755.51;0.66;88205.06;0,3;True;True;328
Schwandorf;Landkreis Schwandorf;4,9364E+15;1,20707E+15;;0.0;very low;0;0;C;1429.74;117.19;167556.33;0.6;100603.42;0,2;True;True;329
Schwandorf;Landkreis Schwandorf;4,93137E+15;1,20571E+16;;0.0;very low;0;0;A+;1429.74;144.03;205929.42;0.47;96316.21;0,2;True;True;330
Rieden;Landkreis Amberg-Sulzbach;4,93098E+15;1,1928E+15;;0.0;very low;0;0;D;1304.4;145.96;190384.21;0.51;97452.53;0,2;True;True;331
Hirschau;Landkreis Amberg-Sulzbach;4,95222E+15;1,19059E+16;;0.0;very low;0;0;C;1304.4;133.22;173767.65;0.7;120787.73;0,3;True;True;332
Hirschau;Landkreis Amberg-Sulzbach;4,95606E+14;1,1875E+14;;0.0;very low;0;0;D;1304.4;146.87;191581.46;0.58;111586.71;0,25;True;True;333
