ort;landkreis;latitude;longitude;GEB_HQ;AEP;flood_risk;Energieklasse;Quadratmeterpreise;aktuelles_LtV;darlehenbetrag;aktueller_immobilienwert;wohnflaeche;Schadensfaktor
Klingenberg am Main;Landkreis Miltenberg;4,97486E+15;9,18838E+15;;0;very low;D;2785;0,1453;166311,86;1144376,23;410,91;0,04
Klingenberg am Main;Landkreis Miltenberg;4,97525E+15;9,18511E+11;;0;very low;F;2785;0,4277;87106,5;203668,9;73,13;0,04
Bodolz;Landkreis Lindau;4,75752E+15;9,68104E+14;;0;very low;E;5279;0,527;166907,85;316740;60;0,04
Bodolz;Landkreis Lindau;4,75598E+15;9,65678E+14;;0;very low;C;5279;0,4189;132696,73;316740;60;0,04
Bodolz;Landkreis Lindau;4,7579E+15;9,69147E+15;;0;very low;D;5279;0,5065;180164,89;355706,29;67,38;0,04
Bodolz;Landkreis Lindau;4,75834E+16;9,66482E+15;;0;very low;C;5279;0,6821;216049,25;316740;60;0,04
Bodolz;Landkreis Lindau;4,75667E+16;9,70482E+15;;0;very low;G;5279;0,3529;111771,96;316740;60;0,04
Bodolz;Landkreis Lindau;4,75911E+15;9,69288E+15;;0;very low;H;5279;0,4852;153692,37;316740;60;0,04
Bodolz;Landkreis Lindau;4,7573E+15;9,71351E+15;;0;very low;A+;5279;0,4954;156904,45;316740;60;0,04
Lindau (Bodensee);Landkreis Lindau;4,75426E+15;9,72728E+15;;0;very low;A+;5279;0,4514;142963,45;316740;60;0,04
Lindau (Bodensee);Landkreis Lindau;4,7553E+15;9,72331E+14;;0;very low;G;5279;0,3154;118205,94;374763,14;70,99;0,04
Lindau (Bodensee);Landkreis Lindau;4,75802E+15;9,65379E+15;;0;very low;F;5279;0,732;231863,91;316740;60;0,04
Lindau (Bodensee);Landkreis Lindau;4,75704E+15;9,68342E+14;;0;very low;G;5279;0,6693;211982,23;316740;60;0,04
Lindau (Bodensee);Landkreis Lindau;4,75976E+15;9,6838E+15;;0;very low;E;5279;0,4181;221382,7;529518,63;100,31;0,04
Lindau (Bodensee);Landkreis Lindau;4,7591E+14;9,67883E+14;;0;very low;D;5279;0,6145;194636,47;316740;60;0,04
Lindau (Bodensee);Landkreis Lindau;4,75564E+16;9,69691E+15;;0;very low;C;5279;0,5138;162752,39;316740;60;0,04
Eschau;Landkreis Miltenberg;4,98218E+15;9,3463E+14;;0;very low;H;2785;0,4642;140598,2;302858,78;108,75;0,04
Großheubach;Landkreis Miltenberg;4,97323E+15;9,22212E+15;;0;very low;A;2785;0,4933;122339,99;247991,42;89,05;0,04
Wörth am Main;Landkreis Miltenberg;4,97742E+15;9,13302E+15;;0;very low;D;2785;0,1522;154366,95;1014246,16;364,18;0,04
Erlenbach am Main;Landkreis Miltenberg;4,97912E+16;9,17231E+15;;0;very low;G;2785;0,4459;91700,05;205635,75;73,84;0,04
Erlenbach am Main;Landkreis Miltenberg;4,98087E+15;9,20098E+14;;0;very low;F;2785;0,4736;219144,29;462689,32;166,14;0,04
Erlenbach am Main;Landkreis Miltenberg;4,97983E+15;9,1754E+15;;0;very low;G;2785;0,7059;117959,24;167100;60;0,04
Mönchberg;Landkreis Miltenberg;4,97978E+15;9,30256E+15;;0;very low;E;2785;0,5283;185007,94;350206,75;125,75;0,04
Hausen;Landkreis Miltenberg;4,98834E+15;9,20844E+15;;0;very low;E;2785;0,5106;85317,21;167100;60;0,04
Kleinwallstadt;Landkreis Miltenberg;4,98727E+15;9,16995E+15;;0;very low;C;2785;0,523;87393,92;167100;60;0,04
Kleinwallstadt;Landkreis Miltenberg;4,98624E+15;9,19975E+15;;0;very low;H;2785;0,4636;117578,39;253606,87;91,06;0,04
Sulzbach am Main;Landkreis Miltenberg;4,99115E+15;9,17163E+15;;0;very low;F;2785;0,4375;80530,65;184055,27;66,09;0,04
Sulzbach am Main;Landkreis Miltenberg;4,99205E+15;9,18931E+15;;0;very low;A;2785;0,2841;127684,38;449457,44;161,39;0,04
Großwallstadt;Landkreis Miltenberg;4,98821E+15;9,11905E+15;;0;very low;E;2785;0,5794;96825,43;167100;60;0,04
Niedernberg;Landkreis Miltenberg;4,99062E+15;9,12753E+15;;0;very low;D;2785;0,1278;57533,94;450293,6;161,69;0,04
Hösbach;Landkreis Aschaffenburg;5,00442E+15;9,2148E+14;;0;very low;C;3619;0,5968;129598,52;217140;60;0,04
Hösbach;Landkreis Aschaffenburg;5,0023E+15;9,23071E+15;;0;very low;G;3619;0,6008;190413,15;316911,13;87,57;0,04
Hösbach;Landkreis Aschaffenburg;5,00299E+15;9,19341E+15;;0;very low;F;3619;0,449;134834,28;300307,93;82,98;0,04
Hösbach;Landkreis Aschaffenburg;4,99738E+15;9,21046E+14;;0;very low;G;3619;0,4341;281018,5;647313,54;178,87;0,04
Obernburg am Main;Landkreis Miltenberg;4,98306E+15;9,09928E+15;;0;very low;A+;2785;0,227;102994,71;453710,56;162,91;0,04
Obernburg am Main;Landkreis Miltenberg;4,984E+16;9,12652E+15;;0;very low;B;2785;0,2422;100437,68;414732,68;148,92;0,04
Mömlingen;Landkreis Miltenberg;4,98529E+15;9,05653E+14;;0;very low;D;2785;0,3782;120131,09;317674,51;114,07;0,04
Stockstadt am Main;Landkreis Aschaffenburg;4,99771E+14;9,04745E+14;;0;very low;D;3619;0,7174;155775,72;217140;60;0,04
Stockstadt am Main;Landkreis Aschaffenburg;4,9975E+14;9,04366E+15;;0;very low;H;3619;0,6339;139928,83;220739,77;60,99;0,04
Krombach;Landkreis Aschaffenburg;5,007E+14;9,19309E+15;;0;very low;B;3619;0,4015;313627,24;781093,52;215,83;0,04
Mömbris;Landkreis Aschaffenburg;5,00548E+16;9,11214E+15;;0;very low;E;3619;0,3746;252161,02;673129,54;186;0,04
Mömbris;Landkreis Aschaffenburg;5,00369E+14;9,1299E+15;;0;very low;E;3619;0,451;202163,91;448280,9;123,87;0,04
Mömbris;Landkreis Aschaffenburg;5,00462E+15;9,182E+15;;0;very low;E;3619;0,4611;227634,94;493722,2;136,43;0,04
Johannesberg;Landkreis Aschaffenburg;5,00167E+16;9,11745E+15;;0;very low;G;3619;0,4606;189313,95;411006,51;113,57;0,04
Mainaschaff;Landkreis Aschaffenburg;5,00153E+15;9,08469E+15;;0;very low;B;3619;0,4848;105263,13;217140;60;0,04
Mainaschaff;Landkreis Aschaffenburg;4,99847E+15;9,10062E+15;;0;very low;D;3619;0,4253;156952,39;369056,67;101,98;0,04
Kleinostheim;Landkreis Aschaffenburg;5,00225E+15;9,08928E+15;;0;very low;C;3619;0,7036;152774,04;217140;60;0,04
Kleinostheim;Landkreis Aschaffenburg;5,00253E+15;9,03357E+15;;0;very low;C;3619;0,42;128206,3;305241,16;84,34;0,04
Karlstein am Main;Landkreis Aschaffenburg;5,00336E+15;9,0452E+14;;0;very low;C;3619;0,2232;48475,9;217140;60;0,04
Karlstein am Main;Landkreis Aschaffenburg;5,00389E+15;9,03967E+15;;0;very low;C;3619;0,481;104437,38;217140;60;0,04
Kahl am Main;Landkreis Aschaffenburg;5,00617E+15;9,00027E+15;;0;very low;A+;3619;0,4033;87564,09;217140;60;0,04
Kahl am Main;Landkreis Aschaffenburg;5,00762E+15;9,01363E+15;;0;very low;H;3619;0,7033;152706,91;217140;60;0,04
Alzenau;Landkreis Aschaffenburg;5,00669E+15;9,07678E+14;;0;very low;A+;3619;0,6929;150454,54;217140;60;0,04
Alzenau;Landkreis Aschaffenburg;5,00945E+15;9,03762E+14;;0;very low;D;3619;0,251;152709,96;608414,7;168,12;0,04
Alzenau;Landkreis Aschaffenburg;5,00644E+15;9,04807E+15;;0;very low;H;3619;0,1978;319821,11;1616584,61;446,69;0,04
Alzenau;Landkreis Aschaffenburg;5,01154E+15;9,07508E+15;;0;very low;A+;3619;0,4858;119772,03;246549,02;68,13;0,04
Alzenau;Landkreis Aschaffenburg;5,00853E+15;9,09157E+14;;0;very low;C;3619;0,0902;34831,74;386010,03;106,66;0,04
Würzburg;;4,97957E+15;9,97942E+15;;0;very low;E;3022;0,2919;182197,99;624094,26;206,52;0,04
Würzburg;;4,97852E+15;9,95316E+15;;0;very low;F;3022;0,3718;98873,61;265936,59;88;0,04
Würzburg;;4,97789E+16;9,94292E+15;;0;very low;B;3022;0,3111;157470,45;506102,29;167,47;0,04
Würzburg;;4,97926E+15;9,97854E+14;;0;very low;E;3022;0,4751;130520,01;274719,86;90,91;0,04
Würzburg;;4,97919E+15;9,96923E+14;;0;very low;E;3022;0,6727;121974,87;181320;60;0,04
Ringelai;Landkreis Freyung-Grafenau;4,88136E+15;1,3452E+16;;0;very low;C;2122;0,5062;152282,03;300808,61;141,76;0,04
Pfronten;Landkreis Ostallgäu;4,75468E+15;1,05784E+16;;0;very low;A;3907;0,1581;123506,44;781343,18;199,99;0,04
Pfronten;Landkreis Ostallgäu;4,75515E+16;1,05291E+16;;0;very low;G;3907;0,6877;161211,67;234420;60;0,04
Benningen;Landkreis Unterallgäu;4,79666E+15;1,02316E+16;;0;very low;H;3518;0,0768;342880,36;4465259,39;1269,26;0,04
Höchstadt a.d.Aisch;Landkreis Erlangen-Höchstadt;4,9692E+15;1,08134E+16;;0;very low;E;4319;0,5688;263263,09;462809,09;107,16;0,04
Höchstadt a.d.Aisch;Landkreis Erlangen-Höchstadt;4,97576E+15;1,08827E+15;;0;very low;D;4319;0,423;109617,24;259140;60;0,04
Höchstadt a.d.Aisch;Landkreis Erlangen-Höchstadt;4,97637E+15;1,09022E+16;;0;very low;F;4319;0,2581;135330,37;524274,4;121,39;0,04
Höchstadt a.d.Aisch;Landkreis Erlangen-Höchstadt;4,97607E+16;1,09063E+16;;0;very low;G;4319;0,5154;133554,13;259140;60;0,04
Mespelbrunn;Landkreis Aschaffenburg;4,99013E+15;9,31847E+13;;0;very low;D;3619;0,206;110142,96;534677,74;147,74;0,04
Neuhaus a.d.Pegnitz;Landkreis Nürnberger Land;4,9626E+15;1,15401E+16;;0;very low;A;3585;0,5176;111330,63;215100;60;0,04
Sailauf;Landkreis Aschaffenburg;5,00413E+15;9,29457E+15;;0;very low;A+;3619;0,4556;157862,9;346499,09;95,74;0,04
Kirchenlamitz;Landkreis Wunsiedel im Fichtelgebirge;5,01437E+15;1,19049E+16;;0;very low;H;1589;0,5051;82088,11;162523,9;102,28;0,04
Röslau;Landkreis Wunsiedel im Fichtelgebirge;5,00804E+15;1,20233E+16;;0;very low;E;1589;0,5742;101324,36;176476,76;111,06;0,04
Thiersheim;Landkreis Wunsiedel im Fichtelgebirge;5,00852E+15;1,21415E+15;;0;very low;C;1589;0,5166;116112,22;224780,19;141,46;0,04
Weißenstadt;Landkreis Wunsiedel im Fichtelgebirge;5,00905E+15;1,18305E+16;;0;very low;E;1589;0,399;79989,62;200453,9;126,15;0,04
Waldbrunn;Landkreis Würzburg;4,97535E+15;9,79453E+15;;0;very low;F;3022;0,2133;96917,81;454447,59;150,38;0,04
Tröstau;Landkreis Wunsiedel im Fichtelgebirge;5,00536E+15;1,18886E+16;;0;very low;D;1589;0,5272;77348,21;146727,67;92,34;0,04
Marktleuthen;Landkreis Wunsiedel im Fichtelgebirge;5,01095E+14;1,20182E+16;;0;very low;F;1589;0,6877;65562;95340;60;0,04
Kleinrinderfeld;Landkreis Würzburg;4,97074E+15;9,84228E+14;;0;very low;B;3022;0,4374;79314,38;181320;60;0,04
Kemnath;Landkreis Tirschenreuth;4,98441E+15;1,19866E+16;;0;very low;D;1750;0,7253;76153,01;105000;60;0,04
Waldershof;Landkreis Tirschenreuth;4,99866E+16;1,20295E+14;;0;very low;A+;1750;0,4651;135645,16;291616,33;166,64;0,04
Leonberg;Landkreis Tirschenreuth;4,99153E+15;1,23184E+16;;0;very low;D;1750;0,4693;341090,12;726768,08;415,3;0,04
Leonberg;Landkreis Tirschenreuth;4,99463E+15;1,2221E+14;;0;very low;C;1750;0,0707;45394,17;642116,89;366,92;0,04
Mitterteich;Landkreis Tirschenreuth;4,99619E+15;1,2253E+16;;0;very low;G;1750;0,5598;119180,68;212881,49;121,65;0,04
Mitterteich;Landkreis Tirschenreuth;4,99411E+15;1,21971E+16;;0;very low;H;1750;0,2393;129429,2;540927,23;309,1;0,04
Bärnau;Landkreis Tirschenreuth;4,98476E+14;1,23679E+16;;0;very low;A;1750;0,4337;89019,8;205233,24;117,28;0,04
Waldsassen;Landkreis Tirschenreuth;5,00358E+15;1,22946E+15;;0;very low;A;1750;0,5814;208442,3;358487,16;204,85;0,04
Waldsassen;Landkreis Tirschenreuth;5,00543E+14;1,22731E+15;;0;very low;H;1750;0,1425;132605,14;930300,04;531,6;0,04
Kulmain;Landkreis Tirschenreuth;4,98879E+15;1,19401E+13;;0;very low;D;1750;0,4149;201787,04;486389,39;277,94;0,04
Plößberg;Landkreis Tirschenreuth;4,97999E+16;1,22663E+16;;0;very low;A;1750;0,0673;112627,37;1672505,84;955,72;0,04
Mähring;Landkreis Tirschenreuth;4,98684E+15;1,24745E+15;;0;very low;A+;1750;0,5279;100943,86;191205,8;109,26;0,04
Immenreuth;Landkreis Tirschenreuth;4,99614E+14;1,18349E+15;;0;very low;C;1750;0,5176;150207,98;290174,43;165,81;0,04
Neusorg;Landkreis Tirschenreuth;4,99479E+15;1,1958E+15;;0;very low;C;1750;0,5009;176345,99;352029,3;201,16;0,04
Tirschenreuth;Landkreis Tirschenreuth;4,99338E+15;1,23785E+16;;0;very low;H;1750;0,3065;145332,65;474093,7;270,91;0,04
Tirschenreuth;Landkreis Tirschenreuth;4,99059E+15;1,23358E+16;;0;very low;A;1750;0,4196;117743,78;280605,89;160,35;0,04
Wiesau;Landkreis Tirschenreuth;4,99197E+15;1,216E+16;;0;very low;B;1750;0,1222;231528,9;1894875,42;1082,79;0,04
Konnersreuth;Landkreis Tirschenreuth;5,00159E+15;1,22363E+16;;0;very low;A;1750;0,4794;76808,54;160218,2;91,55;0,04
Auerbach;Landkreis Deggendorf;4,88295E+14;1,30823E+15;;0;very low;D;2884;0,6166;125279,4;203186,11;70,45;0,04
Grainet;Landkreis Freyung-Grafenau;4,87939E+16;1,36154E+15;;0;very low;D;2122;0,2822;165716,18;587243,38;276,74;0,04
Bruck i.d.OPf.;Landkreis Schwandorf;4,92522E+15;1,23616E+16;;0;very low;D;2749;0,3799;150436,23;396039,72;144,07;0,04
Steinberg am See;Landkreis Schwandorf;4,92817E+15;1,22069E+15;;0;very low;C;2749;0,4919;99227,2;201704,53;73,37;0,04
Neunburg vorm Wald;Landkreis Schwandorf;4,93298E+15;1,24843E+16;;0;very low;A+;2749;0,0985;99796,67;1013468,36;368,67;0,04
Neunburg vorm Wald;Landkreis Schwandorf;4,93211E+15;1,2477E+16;;0;very low;C;2749;0,1404;113555,48;808522,62;294,12;0,04
Wackersdorf;Landkreis Schwandorf;4,93053E+15;1,22023E+16;;0;very low;F;2749;0,6995;115370,29;164940;60;0,04
Schwarzenfeld;Landkreis Schwandorf;4,93701E+15;1,22342E+16;;0;very low;G;2749;0,1502;134808,45;897688,16;326,55;0,04
Schwarzenfeld;Landkreis Schwandorf;4,93782E+15;1,21112E+16;;0;very low;E;2749;0,5115;87959,28;171946,9;62,55;0,04
Bodenwöhr;Landkreis Schwandorf;4,92695E+15;1,23539E+16;;0;very low;D;2749;0,6585;119825,11;181958,14;66,19;0,04
Teunz;Landkreis Schwandorf;4,95165E+15;1,24198E+16;;0;very low;G;2749;0,4507;74346,55;164940;60;0,04
Nabburg;Landkreis Schwandorf;4,94811E+16;1,21475E+16;;0;very low;G;2749;0,0945;56084,67;593734,06;215,98;0,04
Nabburg;Landkreis Schwandorf;4,94767E+14;1,21455E+16;;0;very low;H;2749;0,3587;96659,99;269497,61;98,03;0,04
Wernberg-Köblitz;Landkreis Schwandorf;4,94888E+16;1,21025E+16;;0;very low;G;2749;0,4774;78744,23;164940;60;0,04
Wernberg-Köblitz;Landkreis Schwandorf;4,95397E+15;1,21244E+16;;0;very low;G;2749;0,212;151765,77;715979,08;260,45;0,04
Schmidgaden;Landkreis Schwandorf;4,94156E+16;1,20626E+16;;0;very low;A+;2749;0,5559;91697,69;164940;60;0,04
Rötz;Landkreis Cham;4,93996E+15;1,2554E+16;;0;very low;A;1789;0,2793;82556,9;295614,56;165,24;0,04
Oberviechtach;Landkreis Schwandorf;4,94497E+15;1,24629E+16;;0;very low;D;2749;0,5414;143128,61;264357,98;96,17;0,04
Schönsee;Landkreis Schwandorf;4,95196E+15;1,25173E+16;;0;very low;G;2749;0,1284;90152,13;701905,53;255,33;0,04
Schwandorf;Landkreis Schwandorf;4,93669E+15;1,21092E+15;;0;very low;F;2749;0,1302;207171,98;1591329,98;578,88;0,04
Schwandorf;Landkreis Schwandorf;4,93374E+15;1,21829E+16;;0;very low;H;2749;0,1818;184447,48;1014526,54;369,05;0,04
Schwandorf;Landkreis Schwandorf;4,93638E+15;1,21635E+16;;0;very low;C;2749;0,3188;83252,84;261154,5;95;0,04
Schwandorf;Landkreis Schwandorf;4,93636E+14;1,2158E+16;;0;very low;H;2749;0,3984;222440,26;558281,87;203,09;0,04
Schwandorf;Landkreis Schwandorf;4,93073E+15;1,20011E+16;;0;very low;D;2749;0,6571;108382,31;164940;60;0,04
Schwandorf;Landkreis Schwandorf;4,9364E+15;1,20707E+15;;0;very low;C;2749;0,0701;107473,15;1532915,71;557,63;0,04
Schwandorf;Landkreis Schwandorf;4,93137E+15;1,20571E+16;;0;very low;A+;2749;0,0813;56559,07;696044,44;253,2;0,04
Rieden;Landkreis Amberg-Sulzbach;4,93098E+15;1,1928E+15;;0;very low;D;2508;0,4955;74566,15;150480;60;0,04
Hirschau;Landkreis Amberg-Sulzbach;4,95222E+15;1,19059E+16;;0;very low;C;2508;0,6337;198035,81;312514,76;124,61;0,04
Hirschau;Landkreis Amberg-Sulzbach;4,95606E+14;1,1875E+14;;0;very low;D;2508;0,585;90181,65;154156,87;61,47;0,04
Ebermannsdorf;Landkreis Amberg-Sulzbach;4,93833E+15;1,1978E+15;;0;very low;A;2508;0,5649;85008,25;150480;60;0,04
Schmidmühlen;Landkreis Amberg-Sulzbach;4,92644E+15;1,19228E+14;;0;very low;A+;2508;0,5716;165093,22;288812,15;115,16;0,04
Neukirchen bei Sulzbach-Rosenberg;Landkreis Amberg-Sulzbach;4,95515E+15;1,16612E+16;;0;very low;G;2508;0,6973;104933,32;150480;60;0,04
Amberg;;4,94448E+15;1,18905E+15;;0;very low;F;3008;0,4984;115456,4;231631,76;77,01;0,04
Amberg;;4,94395E+15;1,18167E+16;;0;very low;D;3008;0,2564;126099,87;491895,63;163,53;0,04
Amberg;;4,94309E+15;1,18857E+16;;0;very low;E;3008;0,1233;106923,67;867049,34;288,25;0,04
Amberg;;4,94552E+15;1,18482E+15;;0;very low;D;3008;0,5848;105547,57;180480;60;0,04
Amberg;;4,94651E+15;1,18506E+15;;0;very low;H;3008;0,2324;71256,25;306617,05;101,93;0,04
Amberg;;4,94549E+15;1,18505E+16;;0;very low;E;3008;0,2762;143584,48;519895,38;172,84;0,04
Amberg;;4,94282E+15;1,17816E+16;;0;very low;G;3008;0,6794;131961,44;194219,69;64,57;0,04
Amberg;;4,94449E+15;1,18875E+16;;0;very low;D;3008;0,2703;56288,16;208218,48;69,22;0,04
Amberg;;4,9467E+15;1,18379E+16;;0;very low;B;3008;0,6042;109051,71;180480;60;0,04
Amberg;;4,94346E+15;1,18913E+16;;0;very low;E;3008;0,249;144300,83;579452,3;192,64;0,04
Amberg;;4,94437E+15;1,18974E+15;;0;very low;A;3008;0,2223;65503,64;294698,53;97,97;0,04
Freihung;Landkreis Amberg-Sulzbach;4,96077E+14;1,19235E+15;;0;very low;E;2508;0,4288;91945,44;214410,97;85,49;0,04
Ammerthal;Landkreis Amberg-Sulzbach;4,94457E+15;1,17724E+16;;0;very low;H;2508;0,4788;109176,57;228014,72;90,91;0,04
Poppenricht;Landkreis Amberg-Sulzbach;4,94734E+15;1,18426E+16;;0;very low;A+;2508;0,4075;70817,87;173802,34;69,3;0,04
Schnaittenbach;Landkreis Amberg-Sulzbach;4,95779E+15;1,20246E+16;;0;very low;D;2508;0,6303;422044,76;669560,49;266,97;0,04
Illschwang;Landkreis Amberg-Sulzbach;4,94719E+13;1,17018E+16;;0;very low;B;2508;0,1401;164396,59;1173475,99;467,89;0,04
Ensdorf;Landkreis Amberg-Sulzbach;4,93357E+15;1,1915E+16;;0;very low;E;2508;0,6631;193501,75;291820,88;116,36;0,04
Hahnbach;Landkreis Amberg-Sulzbach;4,95162E+15;1,1787E+16;;0;very low;C;2508;0,1372;150569,45;1097775,4;437,71;0,04
Kastl;Landkreis Amberg-Sulzbach;4,93779E+16;1,16895E+16;;0;very low;A+;2508;0,4876;163413,8;335147,91;133,63;0,04
Kümmersbruck;Landkreis Amberg-Sulzbach;4,94386E+15;1,19077E+16;;0;very low;H;2508;0,7268;109366,62;150480;60;0,04
Kümmersbruck;Landkreis Amberg-Sulzbach;4,94316E+15;1,1898E+13;;0;very low;C;2508;0,6436;96853,08;150480;60;0,04
Kümmersbruck;Landkreis Amberg-Sulzbach;4,94186E+15;1,18913E+16;;0;very low;A+;2508;0,2078;48425,6;233064,46;92,93;0,04
Edelsfeld;Landkreis Amberg-Sulzbach;4,95928E+15;1,17371E+15;;0;very low;A;2508;0,1152;128873,39;1118550,76;445,99;0,04
Ursensollen;Landkreis Amberg-Sulzbach;4,9367E+14;1,18305E+15;;0;very low;D;2508;0,6193;166946,81;269583,56;107,49;0,04
Vilseck;Landkreis Amberg-Sulzbach;4,96316E+15;1,17661E+15;;0;very low;C;2508;0,4702;228894,23;486836,37;194,11;0,04
Vilseck;Landkreis Amberg-Sulzbach;4,96146E+15;1,17396E+15;;0;very low;E;2508;0,2303;141385,71;614048,1;244,84;0,04
Sulzbach-Rosenberg;Landkreis Amberg-Sulzbach;4,9501E+15;1,17038E+16;;0;very low;F;2508;0,5648;91554,09;162096,28;64,63;0,04
Sulzbach-Rosenberg;Landkreis Amberg-Sulzbach;4,95481E+15;1,17103E+16;;0;very low;B;2508;0,2544;171437,02;673998,93;268,74;0,04
Sulzbach-Rosenberg;Landkreis Amberg-Sulzbach;4,95346E+15;1,17119E+16;;0;very low;D;2508;0,6721;101133,57;150480;60;0,04
Sulzbach-Rosenberg;Landkreis Amberg-Sulzbach;4,94968E+15;1,17786E+16;;0;very low;A;2508;0,4337;127231,46;293392,51;116,98;0,04
Sulzbach-Rosenberg;Landkreis Amberg-Sulzbach;4,94904E+16;1,16908E+16;;0;very low;D;2508;0,4231;102427,18;242060,95;96,52;0,04
Freudenberg;Landkreis Amberg-Sulzbach;4,94849E+15;1,19142E+16;;0;very low;D;2508;0,5969;256264,92;429359,08;171,2;0,04
Freystadt;Landkreis Neumarkt in der Oberpfalz;4,92479E+15;1,13297E+16;;0;very low;C;3013;0,1628;224347,11;1377655,55;457,24;0,04
Freystadt;Landkreis Neumarkt in der Oberpfalz;4,92431E+15;1,13409E+16;;0;very low;E;3013;0,4736;105870,65;223522,24;74,19;0,04
Dietfurt an der Altmühl;Landkreis Neumarkt in der Oberpfalz;4,90255E+15;1,16322E+16;;0;very low;F;3013;0,2857;191142,74;668993,04;222,04;0,04
Dietfurt an der Altmühl;Landkreis Neumarkt in der Oberpfalz;4,89943E+15;1,15645E+14;;0;very low;F;3013;0,3637;74827,97;205733,23;68,28;0,04
Sengenthal;Landkreis Neumarkt in der Oberpfalz;4,92214E+15;1,14824E+14;;0;very low;H;3013;0,4221;76301,9;180780;60;0,04
Mühlhausen;Landkreis Neumarkt in der Oberpfalz;4,91523E+15;1,14427E+16;;0;very low;D;3013;0,2865;97680,83;340919,59;113,15;0,04
Neumarkt in der Oberpfalz;Landkreis Neumarkt in der Oberpfalz;4,92977E+15;1,14222E+16;;0;very low;G;3013;0,573;149294,04;260564,95;86,48;0,04
Neumarkt in der Oberpfalz;Landkreis Neumarkt in der Oberpfalz;4,9299E+15;1,1531E+16;;0;very low;C;3013;0,4505;95186,04;211295,27;70,13;0,04
Neumarkt in der Oberpfalz;Landkreis Neumarkt in der Oberpfalz;4,92987E+15;1,1402E+16;;0;very low;F;3013;0,4585;106273,04;231773,18;76,92;0,04
Neumarkt in der Oberpfalz;Landkreis Neumarkt in der Oberpfalz;4,92621E+16;1,14415E+16;;0;very low;H;3013;0,5276;130738,62;247799,67;82,24;0,04
Neumarkt in der Oberpfalz;Landkreis Neumarkt in der Oberpfalz;4,92871E+15;1,15064E+15;;0;very low;C;3013;0,4889;92242,61;188666,28;62,62;0,04
Neumarkt in der Oberpfalz;Landkreis Neumarkt in der Oberpfalz;4,92471E+14;1,14521E+16;;0;very low;E;3013;0,3557;77521;217947,5;72,34;0,04
Neumarkt in der Oberpfalz;Landkreis Neumarkt in der Oberpfalz;4,92793E+15;1,14678E+16;;0;very low;C;3013;0,4229;82612,54;195335,81;64,83;0,04
Neumarkt in der Oberpfalz;Landkreis Neumarkt in der Oberpfalz;4,92724E+15;1,15054E+15;;0;very low;F;3013;0,4443;254977,11;573948,98;190,49;0,04
Neumarkt in der Oberpfalz;Landkreis Neumarkt in der Oberpfalz;4,92729E+14;1,15467E+16;;0;very low;A;3013;0,6477;134713,2;207976,27;69,03;0,04
Neumarkt in der Oberpfalz;Landkreis Neumarkt in der Oberpfalz;4,9303E+15;1,15079E+15;;0;very low;A;3013;0,5614;101490,16;180780;60;0,04
Berngau;Landkreis Neumarkt in der Oberpfalz;4,92349E+16;1,14034E+15;;0;very low;G;3013;0,3535;136104,72;385062,32;127,8;0,04
Lupburg;Landkreis Neumarkt in der Oberpfalz;4,9155E+15;1,16868E+16;;0;very low;H;3013;0,4083;130637,64;319940,84;106,19;0,04
Lupburg;Landkreis Neumarkt in der Oberpfalz;4,91689E+16;1,1738E+16;;0;very low;A+;3013;0,6302;129984,39;206265,69;68,46;0,04
Parsberg;Landkreis Neumarkt in der Oberpfalz;4,91176E+16;1,17473E+16;;0;very low;D;3013;0,445;129398,02;290785,65;96,51;0,04
Parsberg;Landkreis Neumarkt in der Oberpfalz;4,92067E+15;1,1757E+15;;0;very low;B;3013;0,4021;211629,59;526275,95;174,67;0,04
Lauterhofen;Landkreis Neumarkt in der Oberpfalz;4,93338E+15;1,15778E+16;;0;very low;F;3013;0,6037;133439,15;221040,34;73,36;0,04
Berg b.Neumarkt i.d.OPf.;Landkreis Neumarkt in der Oberpfalz;4,93738E+15;1,14322E+16;;0;very low;H;3013;0,0763;207656,4;2720002,06;902,76;0,04
Berg b.Neumarkt i.d.OPf.;Landkreis Neumarkt in der Oberpfalz;4,93728E+15;1,14801E+15;;0;very low;E;3013;0,6691;120954,02;180780;60;0,04
Neumarkt in der Oberpfalz;Landkreis Neumarkt in der Oberpfalz;4,93358E+15;1,14753E+16;;0;very low;C;3013;0,6945;125555,1;180780;60;0,04
Neumarkt in der Oberpfalz;Landkreis Neumarkt in der Oberpfalz;4,93101E+15;1,14641E+14;;0;very low;H;3013;0,2332;238485,5;1022706,15;339,43;0,04
Deining;Landkreis Neumarkt in der Oberpfalz;4,92158E+15;1,15406E+16;;0;very low;C;3013;0,1769;143852,29;813269,07;269,92;0,04
Postbauer-Heng;Landkreis Neumarkt in der Oberpfalz;4,9315E+16;1,1383E+16;;0;very low;F;3013;0,6095;212137,97;348063,1;115,52;0,04
Postbauer-Heng;Landkreis Neumarkt in der Oberpfalz;4,92639E+15;1,1361E+15;;0;very low;G;3013;0,523;94548,94;180780;60;0,04
Breitenbrunn;Landkreis Neumarkt in der Oberpfalz;4,90715E+16;1,16056E+15;;0;very low;C;3013;0,6727;121613,69;180780;60;0,04
Berching;Landkreis Neumarkt in der Oberpfalz;4,90968E+15;1,15083E+15;;0;very low;A;3013;0,5072;91699,66;180780;60;0,04
